DISTRICT_NAME,DISTRICT_CODE,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS
Fall River,00950000,91.5,14.2,54.3,27.2,8.6,37.9
Community Charter School of Cambridge (District),04360000,94.3,9.7,36.4,18.4,3.1,35.2
Northern Berkshire Regional Vocational Technical,08510000,91.4,15.2,56.4,30.1,9.0,56.0
Lexington,01550000,95.4,8.3,30.7,9.4,1.8,5.4
Greater Commonwealth Virtual District,39010000,93.4,9.6,31.2,26.7,11.8,0.1
Norfolk County Agricultural,09150000,93.3,11.9,49.5,19.9,2.5,33.4
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,51.3,69.9,94.7,95.1,84.0,0.0
Boston Renaissance Charter Public (District),04810000,90.1,17.7,71.1,39.6,8.9,51.7
Natick,01980000,95.7,7.6,26.5,8.7,2.3,0.0
Dudley-Charlton Reg,06580000,94.4,9.8,38.9,13.2,2.4,23.2
Dennis-Yarmouth,06450000,92.2,13.2,49.6,24.3,6.8,12.2
Hoosac Valley Regional,06030000,92.2,13.4,49.9,25.4,8.0,23.6
Sutton,02900000,94.7,9.4,37.7,11.6,1.4,4.6
Excel Academy Charter (District),04100000,93.3,12.3,49.2,19.8,3.8,0.6
Hull,01420000,94.3,9.9,42.1,10.8,2.6,23.7
Fairhaven,00940000,93.4,11.6,42.2,17.3,5.3,25.1
Seekonk,02650000,95.0,8.8,33.1,10.6,1.6,10.4
Douglas,00770000,94.0,10.5,47.8,11.9,1.3,20.9
Benjamin Franklin Classical Charter Public (District),04470000,94.7,9.5,39.7,10.3,1.0,29.9
Holyoke,01370000,87.6,20.7,65.7,42.4,17.0,53.2
Dover,00780000,95.2,8.6,35.0,7.0,0.2,31.4
Winchester,03440000,95.7,7.7,28.3,5.9,0.7,9.8
Newburyport,02040000,94.8,9.3,36.6,8.8,2.0,0.0
Berkley,00270000,95.1,8.7,36.1,11.1,0.9,36.1
